product_name,2026-03-26;start,2026-03-26;end,2026-03-27;start,2026-03-27;end,2026-03-28;start,2026-03-28;end,2026-03-29;start,2026-03-29;end,2026-03-30;start,2026-03-30;end,2026-03-31;start,2026-03-31;end,2026-04-01;start,2026-04-01;end,2026-04-02;start,2026-04-02;end,2026-04-03;start,2026-04-03;end,2026-04-04;start,2026-04-04;end,2026-04-05;start,2026-04-05;end,2026-04-06;start,2026-04-06;end,2026-04-07;start,2026-04-07;end,2026-04-08;start,2026-04-08;end,2026-04-09;start,2026-04-09;end,2026-04-10;start,2026-04-10;end,2026-04-11;start,2026-04-11;end,2026-04-12;start,2026-04-12;end,2026-04-13;start,2026-04-13;end,2026-04-14;start,2026-04-14;end,2026-04-15;start,2026-04-15;end,2026-04-16;start,2026-04-16;end,2026-04-17;start,2026-04-17;end,2026-04-18;start,2026-04-18;end,2026-04-19;start,2026-04-19;end,2026-04-20;start,2026-04-20;end,2026-04-21;start,2026-04-21;end,2026-04-22;start,2026-04-22;end,2026-04-23;start,2026-04-23;end,2026-04-24;start,2026-04-24;end
1794 Flowing Hair Dollar,57547.38,45042.62,62722.34,39977.97,56702.97,45411.1,56545.7,46616.27,57904.87,44896.28,61412.68,41538.21,60585.12,41892.93,59098.06,44444.26,61358.96,41971.38,60911.59,42125.32,56301.32,45150.24,54734.57,46861.66,57735.55,44119.18,58340.02,43399.3,58582.42,42665.32,56843.65,44678.81,55119.42,45854.85,54495.42,45668.26,60366.04,39326.48,53829.02,45594.98,56127.77,43731.59,56700.9,43542.81,56357.08,43746.41,59041.41,39590.2,57094.16,41407.53,55961.72,42861.92,58215.97,40455.24,58925.0,39666.98,54283.02,44734.09,59576.14,39733.88
1794 Flowing Hair Dollar Federal Period,27054.53,22545.47,27745.78,22064.69,29869.35,20008.37,28960.57,20612.33,30293.7,19237.51,30831.54,18724.23,29996.21,19548.82,31042.99,18450.49,27031.62,22234.15,29885.84,19590.96,30692.95,18724.81,27080.05,22274.76,31152.41,18340.05,29241.82,20473.42,29492.28,20450.32,29346.43,20525.88,27814.23,22080.23,31070.47,18767.98,27549.28,22316.37,30799.33,19180.25,25690.69,18819.72,28223.9,21935.46,31008.08,19333.18,30142.75,20386.51,30973.09,19418.23,27997.03,22219.6,27727.33,22392.64,27980.73,22084.97,27288.38,22713.6,31415.08,18567.93
1794 Flowing Hair Dollar Post-War,79664.58,44765.42,83613.84,41213.23,69422.68,50448.98,70213.05,49529.37,72406.57,47563.57,80018.94,41520.86,71816.84,47254.15,78023.54,40422.01,76308.56,38623.18,70587.44,44606.42,65903.22,49746.22,68521.56,43153.93,71144.7,37932.85,72495.61,36504.32,74343.84,39172.01,76140.85,37349.34,68446.65,43066.08,75633.24,37256.88,72346.62,42902.04,66788.34,34150.84,59428.73,39796.32,69771.19,41279.23,68903.02,43651.06,68568.03,40834.63,67357.32,43910.57,76499.4,36609.86,66853.84,48498.65,76850.2,36350.79,72481.52,40173.58,74383.85,38985.25
17th Century World Map,11478.48,6241.52,13507.99,4148.2,12389.57,4643.17,11190.23,6071.56,10635.11,6874.53,12879.23,4705.89,10445.9,7111.58,10563.32,6940.78,12521.02,5033.28,13475.76,4363.63,11967.8,5547.53,11148.31,7116.37,13081.74,5289.51,14129.21,4542.28,12136.73,7271.67,12296.76,6876.34,12959.9,6602.87,11394.8,7419.58,13779.94,6113.89,12313.97,7607.73,13339.17,6585.02,12272.74,8100.9,14518.14,5337.18,11757.33,7703.73,12137.36,6931.34,14302.97,5129.95,11961.75,7262.74,14095.56,5196.3,13555.1,4970.59,12271.06,6094.87
1804 Draped Bust Dollar,37587.73,15922.27,39179.32,13597.41,38268.37,13456.98,33392.61,18612.39,32245.28,20643.0,33280.21,20468.19,31744.6,20636.5,40555.45,14249.11,40456.12,14623.49,32435.12,21861.76,40899.31,13451.91,41305.38,12450.43,40653.75,12546.83,34946.46,18262.07,32970.43,20951.06,38649.27,15258.25,35607.47,16706.24,40048.46,12327.18,33178.61,19364.41,37880.81,13503.52,37406.87,14247.97,32372.02,19673.32,38899.48,14557.08,39533.9,15061.01,31203.11,20929.53,31490.01,19450.62,37163.26,13106.34,37370.78,12742.83,32141.29,17911.06,32319.77,16240.55
1804 Draped Bust Dollar Early 20th Century From Private Collection,2083.07,1226.93,1917.63,1366.31,1819.87,1509.14,2032.93,1392.86,2000.72,1499.35,2247.9,1362.91,2267.39,1366.67,2272.64,1454.89,2232.63,1500.74,2081.81,1597.12,2167.98,1583.13,2359.47,1368.36,2098.67,1540.55,2159.48,1503.23,1970.85,1629.13,2008.98,1589.13,2134.06,1483.28,2137.15,1514.42,2120.69,1561.25,2169.39,1584.46,2309.27,1455.63,2267.12,1547.51,2389.98,1386.84,2176.17,1676.52,2019.9,1616.83,2149.11,1389.04,2284.82,1459.06,2201.05,1522.77,2035.1,1641.12,2227.5,1517.19
1804 Draped Bust Dollar Federal Period,110676.13,28563.87,98349.01,39820.54,109696.27,29255.26,88491.74,50062.51,90317.56,49305.59,110898.97,27681.55,92420.31,47601.96,100727.02,38183.81,92464.27,46558.94,104233.59,34616.36,85078.85,52947.94,94135.34,44751.57,111661.45,28475.28,101108.89,40114.5,104507.95,36690.33,92724.23,47586.02,111565.04,28728.06,95936.9,43946.58,103828.25,36610.18,116297.88,27468.0,87386.24,53765.25,106765.9,33730.29,102789.42,28097.27,111009.37,29975.23,110889.66,30206.7,117791.07,27468.0,102265.4,37986.5,110946.59,30382.05,113477.69,28031.88,112467.3,30159.23
1804 Draped Bust Dollar c.1840,23971.34,10618.66,25502.16,9286.59,21935.89,12858.62,26422.6,8471.96,26270.83,8706.26,21465.56,13385.78,25770.24,9291.14,24045.28,11097.43,27270.48,7799.73,24759.79,10278.46,26199.32,8554.22,20932.36,13825.91,22991.58,11738.46,27578.05,7188.999999999999,25719.37,8970.35,26787.79,7981.22,21440.79,13241.37,22329.65,12325.69,21023.76,13635.54,22449.6,12174.23,21648.48,13059.52,23702.77,11119.52,26854.28,7865.38,20059.72,12185.72,22186.33,10192.0,21634.39,13382.08,24786.67,10148.45,24387.3,10580.83,25812.78,9204.94,24237.23,10864.28
1909-S VDB Lincoln Penny,102916.63,33773.37,85783.2,49606.63,81823.81,50001.82,88132.63,43159.89,83345.05,47204.69,93855.6,36232.04,80996.71,49446.56,92436.88,39737.83,97661.3,33604.11,103877.14,29504.999999999996,99093.27,33777.74,96051.16,35367.13,87497.25,45003.04,94907.9,39129.03,95469.28,39869.95,83064.22,52248.23,103213.9,32380.43,80844.5,54696.0,89276.88,47214.01,101902.24,35243.9,89897.05,47901.04,93401.82,44475.28,96624.11,31728.15,82490.07,46687.74,101012.84,37674.88,103788.12,35013.51,95182.82,43975.17,96007.88,42268.35,91496.25,43739.0,91196.08,44559.24
1909-S VDB Lincoln Penny Mid-Century From Private Collection,36672.13,24907.87,35963.26,24930.46,38600.97,21860.02,35940.33,24096.89,36723.93,22541.74,35794.7,23210.34,36424.28,22632.75,38636.71,21124.26,35362.06,24609.89,34693.63,24807.57,38039.82,21209.5,40255.67,18388.23,39376.98,19008.53,34334.95,23812.21,37615.22,20364.54,34657.91,23733.05,33797.03,24509.89,34882.76,23704.78,38040.32,20631.16,38205.91,20790.85,38167.1,20548.08,33713.72,24718.64,37559.27,20471.23,35045.07,22772.0,35125.96,22554.58,36434.46,21073.86,39690.23,18121.47,37564.04,19685.87,35332.16,22282.91,37204.53,20257.8
