product_name,price_type,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10,2026-04-11,2026-04-12,2026-04-13,2026-04-14,2026-04-15,2026-04-16,2026-04-17,2026-04-18,2026-04-19,2026-04-20,2026-04-21,2026-04-22,2026-04-23,2026-04-24
Oris Aquis Date,start,22085.5,19523.16,22733.37,20353.34,20407.19,19474.07,21694.64,19432.42,19963.1,18634.33,20428.06,20157.46,19582.28,22357.31,18850.62,18859.64,22486.87,20082.3,23109.3,18926.51,21166.31,20766.39,19624.79,19579.49,20000.7,19087.09,21379.66,20991.19,22075.02,19601.09
Oris Aquis Date,end,28254.5,30754.37,27236.58,29671.65,30141.09,30933.99,28865.88,31089.66,30584.51,31938.42,29813.59,30306.03,30571.35,28241.23,31582.16,31394.72,28287.54,30782.97,27729.77,32169.54,29806.22,30465.11,31655.41,31301.59,30873.86,31757.69,29480.78,29592.39,28408.16,30690.19
Rare Ziegler Mahal Carpet Edwardian Era,start,8019.58,5902.08,6371.13,5059.15,6294.83,4291.0,7050.09,4291.0,4927.46,8106.7,6964.57,7979.42,4879.63,6085.07,7528.77,4873.59,4594.78,6599.69,4698.44,4846.48,4291.0,4291.0,4291.0,4291.0,7072.28,4714.26,6043.95,6626.46,5809.88,5425.9
Rare Ziegler Mahal Carpet Edwardian Era,end,14290.42,16351.79,15792.46,17025.64,15689.63,18158.52,14755.66,17643.17,16778.48,13630.63,14599.47,13419.68,16302.27,15335.89,13817.36,16609.34,18449.62,14432.83,16266.36,16058.52,15720.84,15256.23,16821.93,16695.5,13725.57,15819.04,14583.15,14154.1,14884.82,15370.29
Original Theodolite Surveying Instrument,start,2502.41,2514.86,2409.52,2316.19,2473.79,2365.6,2425.33,2282.48,2225.29,2412.04,2326.25,2178.57,1985.87,2221.2,2334.82,2267.83,2339.48,2075.42,2110.94,1940.09,2301.51,2118.24,1930.78,2154.25,2258.7,2325.12,2203.83,2198.45,2250.01,2234.21
Original Theodolite Surveying Instrument,end,3207.59,3197.87,3267.71,3381.94,3158.69,3227.46,3212.81,3393.59,3442.31,3730.92,3310.03,3455.58,3647.08,3373.47,3247.04,3284.27,3248.28,3511.68,3408.66,3511.03,3052.28,3285.77,3449.23,3235.78,3081.07,2938.26,3113.78,3149.64,3033.39,2988.05
Period Hot Wheels Redline Collection 19th Century,start,3285.78,2798.04,3091.58,2784.4,3215.47,2773.57,3051.7,3140.45,2957.68,2919.0,2710.47,3105.86,2450.01,2656.45,2778.43,3203.41,2920.03,2867.82,2724.59,3284.55,2831.65,2770.82,2908.24,2751.59,2600.31,2731.74,2722.66,3291.85,2936.93,2698.38
Period Hot Wheels Redline Collection 19th Century,end,4164.22,4650.69,4314.89,4667.38,4261.65,4730.63,4435.86,4359.55,4516.75,4575.64,4782.48,4334.14,4967.41,4761.38,4619.28,4196.76,4488.13,4560.55,4689.23,4151.1,4628.09,4671.03,4587.73,4728.93,4898.03,4749.28,4750.77,4171.6,4550.39,4790.64
Tavern Sign Iron Bracket 18th Century,start,6109.33,7761.47,7095.46,7214.78,6273.79,8467.32,5763.45,7406.61,6408.37,6674.46,6930.65,6196.37,7779.71,5353.12,7434.88,7561.9,5605.07,5481.86,6269.95,6879.62,4830.0,5179.86,4830.0,5719.03,4830.0,4830.0,6121.89,5153.36,7860.35,5604.35
Tavern Sign Iron Bracket 18th Century,end,15820.67,14489.75,15083.68,14746.28,15411.56,13218.32,15771.77,13834.47,14202.19,13784.07,13256.59,13603.47,11839.92,14061.54,12504.69,12312.66,14250.0,13617.92,12360.35,11986.69,14380.52,13415.94,12061.69,13400.56,13885.47,13477.09,12254.34,13676.07,11659.39,14085.73
